age,games,games_started,minutes_played,field_goals_per_game,field_goal_attempts_per_game,field_goal_percentage,3-point_field_goals_per_game,3-point_field_goal_attempted_per_game,3-point_goal_percentage,2-point_field_goals_per_game,2-point_field_goals_attempted_per_game,2-point_field_goal_percentage,free_throws_per_game,free_throw_attempts_per_game,free_throw_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game,3_point_attempt_rate,assist_percentage,block_percentage,defensive_box_plus_minux,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,offensive_box_plus_minux,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,steal_percentage,turnover_percentage,total_rebound_percentage,true_shooting_percentage,usage_percentage,value_over_replacement_player,win_shares_per_48_minutes,position_C,position_PF,position_PG,position_SF,position_SG,games_start_percentage,rating
29,59,2,8.8,0.8,1.9,0.398,0.1,0.2,0.545,0.7,1.7,0.382,0.5,0.7,0.707,0.4,0.8,1.2,1.9,0.4,0,0.8,0.9,2.1,0.097,32.7,0.3,-0.7,10.3,0.5,0.363,-2.5,5.1,0.2,12.2,2.6,26.4,7.7,0.477,15.6,-0.2,0.066,0,0,1,0,0,0.033898305,59
23,80,80,38.3,9.4,20,0.469,0.4,1.7,0.25,9,18.3,0.489,6.1,7.4,0.829,1.4,4.1,5.5,5.5,1.5,0.4,2.8,2.9,25.2,0.083,25.9,0.8,0.1,11.7,3.8,0.369,4.4,4.1,8.9,23.2,2,10.7,7.9,0.544,30.4,5,0.199,0,0,0,0,1,1,99
27,29,29,34.7,4.5,10,0.448,0,0,0,4.5,10,0.45,2.1,3.4,0.626,3.1,8,11.1,1.1,1.2,1.7,1.4,3.7,11.1,0.003,5.6,3.7,2.8,26.8,1.7,0.341,-2.7,10.2,0.5,15.1,1.8,11.2,18.5,0.483,17.4,0.5,0.102,1,0,0,0,0,1,79
33,77,74,28,5,10.3,0.484,0,0,0,5,10.3,0.485,4,5,0.797,1.7,5.2,6.9,1.3,0.8,1.8,1.8,3.4,13.9,0.003,8.5,4.6,1.8,21,3.5,0.484,-0.5,7,4,19.5,1.5,12.5,14,0.558,23.3,1.8,0.168,0,1,0,0,0,0.961038961,74
26,46,18,22.8,1.9,5.7,0.342,0,0.4,0.053,1.9,5.2,0.365,0.4,0.8,0.528,0.4,2.1,2.5,4.7,1.1,0.1,1.6,1.8,4.3,0.073,33,0.2,0.7,10.8,1.6,0.138,-4.6,2.1,-1.4,8.9,2.6,20.7,6.5,0.359,15.8,-0.5,0.008,0,0,1,0,0,0.391304348,66
25,60,60,39.8,9.3,21.8,0.428,2,5.2,0.387,7.3,16.6,0.441,4.1,5.1,0.798,2.3,2.9,5.2,4,1.6,0.7,2.6,3.2,24.7,0.239,19.9,1.3,-0.7,8.7,2.4,0.235,4.8,6.4,4.6,20.5,2.1,9.6,7.5,0.515,30.5,3.7,0.14,0,0,0,0,1,1,90
32,74,73,35.2,7.5,16.2,0.463,1,2.8,0.348,6.5,13.4,0.486,3.8,4.4,0.86,0.7,3.5,4.2,6.7,1.2,0.2,2.4,2.8,19.7,0.17,34.3,0.3,-1.9,10.9,1.4,0.274,4.2,2.5,7.2,21.3,1.8,11.7,6.9,0.545,27.3,2.8,0.158,0,0,1,0,0,0.986486486,84
19,71,31,19.6,2.1,4.3,0.497,0,0,0,2.1,4.3,0.497,1.9,3.1,0.604,1.6,3.2,4.8,0.8,0.4,1.3,1.4,2.5,6.1,0,6.5,5,1.5,19.8,1.4,0.73,-3.6,9.3,0.4,13,1.1,19.8,14.4,0.543,16.6,0,0.062,1,0,0,0,0,0.436619718,74
34,69,4,22.8,1.4,4.3,0.328,0.5,1.7,0.275,0.9,2.6,0.364,0.8,1,0.817,0.3,2,2.2,5.1,0.8,0.1,1.8,2.6,4.1,0.405,32.9,0.2,-1.5,10.2,1.5,0.24,-3.3,1.3,-0.4,8.8,1.9,27.3,5.6,0.435,13,-1.1,0.033,0,0,1,0,0,0.057971014,65
31,81,81,34.5,4.2,9.1,0.46,1.1,3.2,0.352,3.1,5.9,0.518,2.5,3,0.851,0.9,3.7,4.6,4.2,2,0.3,2,2.6,12,0.348,17.2,0.6,2,11.2,4.2,0.329,1.9,2.9,4.4,15.2,2.9,16.3,7.1,0.578,15.6,4.2,0.148,0,0,0,0,1,1,80
26,81,31,27,4.7,9.6,0.49,0,0.1,0,4.7,9.5,0.494,1.9,2.8,0.674,2.2,5.2,7.4,1.1,0.7,1.5,1.7,3.2,11.3,0.006,7.1,4.2,1.6,22.9,3.6,0.297,-2,9.3,1.7,16.7,1.4,13.8,15.8,0.522,21.2,0.8,0.116,1,0,0,0,0,0.382716049,77
34,58,58,35.9,5.7,12.7,0.45,0.5,1.4,0.337,5.2,11.2,0.465,3.2,3.9,0.815,2.9,5.9,8.8,1.7,0.7,0.9,2.1,2.7,15.1,0.113,8.5,1.9,0.8,18.5,3.2,0.309,-0.1,9.2,2.7,16.2,1.1,12.5,13.9,0.524,21,1.4,0.135,0,1,0,0,0,1,79
