player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
Eddie Robinson,SF,26,CHI,64,18,21.2,2.4,4.9,0.492,0,0.2,0.214,2.4,4.7,0.505,0.497,0.8,1,0.81,1.2,1.9,3.1,1,1,0.2,0.8,1.9,5.7,0.044,7.7,0.7,-0.6,0.5,10,1,0.2,-1.1,6.3,1.2,11.5,2.3,13.2,8.2,0.531,12.9,0.5,2.2,0.076,70
Bryon Russell,SF,32,WAS,70,23,19.8,1.5,4.4,0.353,0.7,2,0.329,0.9,2.4,0.373,0.428,0.8,1,0.768,0.6,2.4,3,1,1,0.1,0.8,1.9,4.5,0.458,8.2,0.4,-1.2,0.6,14.1,1.6,0.225,-1.8,3.7,0,9.1,2.7,14.1,8.9,0.468,13.3,0.3,1.5,0.052,70
Charlie Ward,PG,32,NYK,66,6,22.2,2.5,6.3,0.399,1.5,4,0.378,1,2.2,0.435,0.521,0.6,0.8,0.774,0.4,2.3,2.7,4.6,1.2,0.2,1.4,2.2,7.2,0.645,32.9,0.5,2.1,-0.4,12.4,1.3,0.128,2.5,2,2.4,15.9,2.8,17.8,7.1,0.54,16.8,1.5,3.7,0.121,70
Jahidi White,C,26,WAS,16,8,14.4,1.6,3.3,0.472,0,0,,1.6,3.3,0.472,0.472,1.1,1.6,0.68,2.3,2.3,4.6,0.1,0.1,0.8,0.6,2.1,4.2,0,1.4,3.9,-4,-2.1,18.6,0.2,0.472,-1.9,19,0.4,14.8,0.2,12.3,18.8,0.523,15,-0.1,0.6,0.134,70
Rodney White,SG,22,DEN,72,19,21.7,3.6,8.9,0.408,0.4,1.9,0.239,3.2,7,0.452,0.433,1.4,1.7,0.784,0.6,2.4,3,1.7,0.6,0.4,2.2,1.9,9,0.21,15,1.6,-4.4,-0.5,13.3,1.8,0.196,-3.9,3.1,-2.1,9.8,1.5,18.4,7.9,0.469,24.2,-1,-0.4,-0.011,70
Frank Williams,PG,22,NYK,21,0,8,0.4,1.6,0.273,0.3,0.8,0.375,0.1,0.8,0.176,0.364,0.2,0.3,0.667,0.1,0.7,0.9,1.6,0.3,0.1,0.8,1,1.3,0.485,29.4,0.9,-5.9,-0.9,10.8,0.1,0.182,-5,2.1,-0.2,6.4,2.2,32.3,6.3,0.393,14.6,-0.2,-0.1,-0.035,70
Jerome Williams,PF,29,TOR,71,63,33,3.8,7.5,0.499,0,0.1,0.167,3.7,7.5,0.503,0.5,2.2,4,0.555,3.3,5.9,9.2,1.3,1.6,0.4,1.4,2.8,9.7,0.011,6.7,0.8,0.8,1.3,21.2,2.5,0.525,-0.4,10.8,2.9,15.6,2.6,13,15.8,0.525,14.7,1.7,5.4,0.11,70
Monty Williams,SF,31,PHI,21,2,13.1,1.6,3.8,0.425,0,0.1,0,1.6,3.7,0.436,0.425,1.1,1.5,0.75,0.6,1.6,2.1,1.2,0.6,0.2,0.8,1.6,4.4,0.025,15,1.4,-2,0.5,14.3,0.3,0.4,-2.4,5,0.1,12.5,2.3,15.3,9.6,0.489,18.1,0,0.5,0.08,70
Malik Allen,PF,25,MIA,45,6,13.7,1.8,4.4,0.419,0,0,,1.8,4.4,0.419,0.419,0.6,0.7,0.758,0.9,1.7,2.6,0.4,0.3,0.6,0.6,1.8,4.2,0,4.7,3.6,-4.6,0.2,14.7,0.8,0.167,-4.7,7.9,-0.1,10.5,1.1,11.3,11.3,0.449,18.3,-0.4,0.7,0.051,70
Shandon Anderson,SG,30,NYK,80,37,24.7,3,7.1,0.422,0.5,1.6,0.281,2.5,5.5,0.463,0.454,1.5,2,0.764,0.7,2.1,2.8,1.5,0.9,0.2,1.5,2.3,7.9,0.227,10.2,0.7,-1.7,-0.1,9.7,1.5,0.285,-1.6,3.1,0.2,10.1,1.8,15.7,6.5,0.5,17.7,0.1,1.7,0.042,70
Troy Bell,PG,23,MEM,6,0,5.7,0.7,3,0.222,0,0.7,0,0.7,2.3,0.286,0.222,0.5,0.5,1,0.5,0.2,0.7,0.7,0.2,0,1,1,1.8,0.222,18.7,0,-14.4,-3.9,3.4,0,0.167,-10.4,9.9,-0.2,-4.5,1.5,23.7,6.6,0.285,33.5,-0.1,-0.2,-0.326,70
