player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
Goran Dragic,PG,25,HOU,66,28,26.5,4.2,9.1,0.462,1.0,3.1,0.337,3.2,6.0,0.525,0.518,2.3,2.9,0.805,0.8,1.7,2.5,5.3,1.3,0.2,2.4,2.5,11.7,0.337,32.5,0.4,2.1,-1.0,7.7,1.5,0.317,3.0,3.5,3.6,18.0,2.5,18.7,5.6,0.567,21.8,1.8,5.1,0.139,80
Jared Dudley,SG,26,PHO,65,60,31.1,4.8,9.9,0.485,1.2,3.2,0.383,3.6,6.7,0.535,0.547,1.8,2.5,0.726,1.5,3.2,4.6,1.7,0.8,0.3,1.1,1.6,12.7,0.325,8.8,0.7,2.7,0.0,11.4,1.1,0.255,2.7,5.4,4.0,15.4,1.3,9.1,8.4,0.575,17.7,2.4,5.1,0.121,74
Chris Duhon,PG,29,ORL,63,9,19.5,1.3,3.2,0.419,0.8,1.9,0.42,0.6,1.3,0.417,0.542,0.3,0.3,0.81,0.2,1.4,1.6,2.4,0.6,0.1,1.3,1.1,3.8,0.586,19.1,0.6,-2.3,-0.2,8.4,0.9,0.103,-2.1,1.3,0.4,8.4,1.5,27.6,4.8,0.558,11.2,-0.1,1.3,0.051,65
Tim Duncan,C,35,SAS,58,58,28.2,6.2,12.6,0.492,0.0,0.1,0.0,6.2,12.6,0.495,0.492,3.0,4.3,0.695,1.9,7.1,9.0,2.3,0.7,1.5,1.7,1.7,15.4,0.005,13.5,3.9,2.4,2.6,28.2,2.9,0.34,-0.2,7.9,3.0,22.5,1.2,10.3,18.3,0.531,26.2,1.8,5.9,0.174,90
Mike Dunleavy,SF,31,MIL,55,3,26.3,4.3,9.2,0.474,1.5,3.8,0.399,2.8,5.4,0.527,0.557,2.1,2.6,0.811,0.5,3.2,3.7,2.1,0.5,0.1,1.1,1.6,12.3,0.413,13.0,0.4,1.0,-1.7,13.7,0.9,0.284,2.6,2.2,3.5,16.6,1.0,9.3,7.8,0.597,19.0,1.1,4.4,0.146,72
Kevin Durant,SF,23,OKC,66,66,38.6,9.7,19.7,0.496,2.0,5.2,0.387,7.7,14.4,0.535,0.547,6.5,7.6,0.86,0.6,7.4,8.0,3.5,1.3,1.2,3.8,2.0,28.0,0.265,17.5,2.2,5.2,0.5,20.4,3.7,0.386,4.7,1.9,8.5,26.2,1.8,14.0,11.8,0.61,31.3,4.6,12.2,0.23,96
Devin Ebanks,SG,22,LAL,24,12,16.5,1.5,3.7,0.416,0.0,0.4,0.0,1.5,3.3,0.463,0.416,1.0,1.5,0.657,1.1,1.2,2.3,0.5,0.5,0.3,0.8,1.1,4.0,0.101,4.6,1.1,-3.4,-0.2,7.6,0.3,0.393,-3.2,7.7,0.0,8.3,1.5,14.7,7.6,0.465,14.2,-0.1,0.3,0.033,58
Wayne Ellington,SG,24,MIN,51,4,19.1,2.4,5.9,0.404,0.7,2.1,0.324,1.7,3.8,0.448,0.462,0.6,0.8,0.8,0.3,1.7,1.9,0.6,0.5,0.2,0.5,1.1,6.1,0.358,5.5,0.7,-2.6,-0.7,9.7,0.5,0.132,-1.9,1.6,0.3,9.4,1.4,7.5,5.6,0.487,15.8,-0.2,0.8,0.041,69
Monta Ellis,SG,26,MIL,21,21,36.0,6.9,16.0,0.432,0.6,2.1,0.267,6.3,13.9,0.457,0.449,3.2,4.2,0.764,0.2,3.3,3.5,5.9,1.4,0.3,2.6,2.5,17.6,0.134,27.3,0.6,-1.2,-1.3,10.4,0.6,0.265,0.1,0.6,0.5,15.4,2.0,12.6,5.3,0.493,25.0,0.2,1.1,0.067,85
Jeremy Evans,SF,24,UTA,29,0,7.5,0.9,1.4,0.643,0.0,0.0,0.0,0.9,1.4,0.659,0.643,0.3,0.6,0.5,0.7,1.1,1.7,0.4,0.2,0.8,0.2,0.8,2.1,0.024,9.1,8.8,5.7,4.7,16.6,0.3,0.381,1.0,9.9,0.6,19.6,1.5,9.3,13.2,0.632,11.2,0.4,0.9,0.193,71
