player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
Alec Burks,SG,24,UTA,31,3,25.7,4.4,10.8,0.41,1.0,2.5,0.405,3.4,8.2,0.412,0.458,3.4,4.5,0.752,0.5,3.0,3.5,2.0,0.6,0.1,1.6,2.3,13.3,0.237,13.9,0.4,-2.5,-1.6,13.6,0.8,0.422,-0.9,2.4,0.7,14.3,1.2,11.4,8.0,0.52,25.9,-0.1,1.5,0.09,76
Jimmy Butler,SG,26,CHI,67,67,36.9,7.0,15.4,0.454,1.0,3.1,0.312,6.1,12.4,0.489,0.485,5.9,7.1,0.832,1.2,4.2,5.3,4.8,1.6,0.6,2.0,1.9,20.9,0.198,21.4,1.3,4.0,0.3,11.6,2.7,0.459,3.6,3.4,6.5,21.3,2.2,9.6,7.6,0.562,24.4,3.7,9.1,0.177,89
Bruno Caboclo,SF,20,TOR,6,1,7.2,0.2,2.0,0.083,0.2,1.2,0.143,0.0,0.8,0.0,0.125,0.0,0.0,,0.2,0.2,0.3,0.2,0.3,0.2,0.7,0.3,0.5,0.583,3.2,1.9,-11.6,-0.2,2.6,0.0,0.0,-11.4,2.7,-0.3,-7.7,2.4,25.0,2.7,0.125,16.9,-0.1,-0.3,-0.283,66
Kentavious Caldwell-Pope,SG,22,DET,76,76,36.7,5.3,12.6,0.42,1.5,4.9,0.309,3.8,7.8,0.489,0.479,2.4,3.0,0.811,0.9,2.8,3.7,1.8,1.4,0.2,1.4,2.2,14.5,0.384,7.8,0.5,1.1,0.6,8.6,2.7,0.238,0.6,2.6,2.6,12.4,2.0,9.0,5.5,0.521,18.2,2.2,5.3,0.092,79
Clint Capela,C,21,HOU,77,35,19.1,3.0,5.2,0.582,0.0,0.0,0.0,3.0,5.1,0.583,0.582,1.0,2.7,0.379,2.5,3.9,6.4,0.6,0.8,1.2,0.8,2.5,7.0,0.003,5.1,5.2,0.5,1.7,22.7,2.0,0.531,-1.2,14.4,2.4,18.3,2.0,10.9,18.5,0.553,16.1,0.9,4.4,0.144,79
DeMarre Carroll,SF,29,TOR,26,22,30.2,4.0,10.4,0.389,1.8,4.5,0.39,2.3,5.8,0.388,0.474,1.2,1.9,0.6,1.2,3.5,4.7,1.0,1.7,0.2,1.1,2.4,11.0,0.437,5.5,0.6,0.2,0.3,13.1,1.0,0.185,0.0,4.6,0.2,11.9,2.9,8.8,8.9,0.49,18.5,0.4,1.2,0.074,77
Vince Carter,SG,39,MEM,60,3,16.8,2.2,5.7,0.388,1.0,2.8,0.349,1.2,2.9,0.425,0.474,1.2,1.4,0.833,0.5,1.9,2.4,0.9,0.6,0.3,0.6,1.7,6.6,0.493,8.9,1.5,-1.2,-1.2,13.6,0.8,0.245,-0.1,3.4,1.0,12.7,1.9,8.4,8.3,0.52,18.5,0.2,1.8,0.084,74
Omri Casspi,SF,27,SAC,69,21,27.2,4.3,9.0,0.481,1.6,4.0,0.409,2.7,5.0,0.537,0.571,1.5,2.3,0.648,0.8,5.1,5.9,1.4,0.8,0.2,1.4,2.2,11.8,0.441,7.5,0.7,-0.3,-0.6,20.1,1.5,0.256,0.3,3.4,2.1,13.9,1.4,12.0,11.8,0.587,17.8,0.8,3.6,0.092,72
Willie Cauley-Stein,C,22,SAC,66,39,21.4,2.9,5.1,0.563,0.0,0.0,0.0,2.9,5.1,0.567,0.563,1.2,1.9,0.648,2.0,3.3,5.3,0.6,0.7,1.0,0.7,2.2,7.0,0.006,3.8,3.8,0.7,1.5,16.6,1.4,0.369,-0.8,10.3,2.4,15.3,1.6,10.5,13.5,0.588,13.2,1.0,3.8,0.13,71
Rakeem Christmas,PF,24,IND,1,0,6.0,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3.2,-6.6,0.0,0.0,0.0,9.7,18.3,0.0,32.0,0.0,0.0,9.1,1.0,14.7,0.0,0.0,0.343,66
Ian Clark,SG,24,GSW,66,1,8.8,1.3,3.1,0.441,0.5,1.3,0.357,0.9,1.8,0.5,0.515,0.4,0.5,0.824,0.2,0.8,1.0,1.0,0.3,0.2,0.7,0.9,3.6,0.416,15.3,1.7,-3.0,-1.3,9.7,0.6,0.168,-1.8,2.6,0.3,11.5,1.4,16.5,6.3,0.544,19.5,-0.2,0.9,0.075,76
Jordan Clarkson,SG,23,LAL,79,79,32.3,6.0,13.9,0.433,1.4,4.1,0.347,4.6,9.8,0.468,0.483,2.1,2.6,0.804,1.2,2.8,4.0,2.4,1.1,0.1,1.7,2.1,15.5,0.291,13.8,0.2,-1.4,-2.0,9.6,0.4,0.186,0.6,3.8,1.7,14.3,1.7,10.2,6.6,0.516,22.8,0.4,2.1,0.039,76
Darren Collison,PG,28,SAC,74,15,30.0,5.1,10.5,0.486,1.2,2.9,0.401,3.9,7.6,0.519,0.542,2.6,3.1,0.858,0.4,1.9,2.3,4.3,1.0,0.1,1.8,1.9,14.0,0.28,21.7,0.1,-0.4,-2.2,6.8,0.7,0.291,1.8,1.4,4.5,15.9,1.6,12.9,4.1,0.591,19.2,0.9,5.2,0.113,78
Nick Collison,PF,35,OKC,59,4,11.8,0.8,1.8,0.459,0.0,0.0,0.0,0.8,1.8,0.467,0.459,0.4,0.6,0.697,1.2,1.7,2.9,0.9,0.3,0.3,0.8,1.8,2.1,0.018,9.6,1.7,-1.2,1.3,15.2,0.7,0.303,-2.5,11.2,0.1,7.7,1.1,28.8,13.3,0.498,10.6,0.1,0.8,0.053,72
Mike Conley,PG,28,MEM,56,56,31.4,5.3,12.4,0.422,1.4,3.8,0.363,3.9,8.6,0.449,0.478,3.4,4.1,0.834,0.5,2.5,2.9,6.1,1.2,0.3,1.5,1.8,15.3,0.309,32.7,0.8,1.7,-1.9,9.3,1.1,0.329,3.7,1.6,4.2,19.4,2.0,9.5,5.3,0.538,22.4,1.7,5.3,0.144,86
Pat Connaughton,SG,23,POR,34,0,4.2,0.4,1.4,0.265,0.1,0.6,0.238,0.2,0.8,0.286,0.316,0.1,0.1,1.0,0.3,0.6,0.9,0.3,0.1,0.0,0.3,0.2,1.1,0.429,9.9,0.0,-8.2,-2.4,15.9,0.1,0.102,-5.8,8.3,-0.3,4.6,0.7,16.3,12.1,0.352,18.7,-0.2,-0.2,-0.076,69
DeMarcus Cousins,C,25,SAC,65,65,34.6,9.2,20.5,0.451,1.1,3.2,0.333,8.2,17.3,0.473,0.477,7.3,10.2,0.718,2.4,9.1,11.5,3.3,1.6,1.4,3.8,3.6,26.9,0.158,17.0,3.3,2.6,1.6,28.2,3.3,0.498,1.0,7.7,2.4,23.6,2.2,13.3,18.0,0.538,35.4,2.6,5.7,0.122,93
Robert Covington,SF,25,PHI,67,49,28.4,4.1,10.6,0.385,2.5,7.2,0.353,1.6,3.4,0.452,0.504,2.1,2.6,0.791,1.0,5.3,6.3,1.4,1.6,0.6,2.1,3.5,12.8,0.677,8.4,1.6,-0.2,0.0,20.9,2.1,0.249,-0.2,3.6,-0.1,13.2,2.7,15.3,12.0,0.543,21.5,0.9,2.0,0.05,73
Jamal Crawford,SG,35,LAC,79,5,26.9,4.8,11.9,0.404,1.5,4.4,0.34,3.3,7.5,0.44,0.466,3.1,3.4,0.904,0.3,1.6,1.8,2.3,0.7,0.2,1.4,1.5,14.2,0.366,14.0,0.4,-2.6,-2.4,6.3,1.5,0.289,-0.2,1.0,1.8,14.0,1.2,9.6,3.7,0.529,24.9,-0.3,3.3,0.076,76
Jae Crowder,SF,25,BOS,73,73,31.6,4.9,11.1,0.443,1.7,5.0,0.336,3.3,6.2,0.529,0.518,2.7,3.3,0.82,1.0,4.2,5.1,1.8,1.7,0.5,1.1,2.7,14.2,0.446,8.9,1.2,2.8,1.3,14.2,3.5,0.294,1.5,3.2,3.8,15.8,2.7,8.3,8.6,0.565,18.5,2.8,7.3,0.152,81
Dante Cunningham,SF,28,NOP,80,46,24.6,2.3,5.2,0.451,0.7,2.2,0.316,1.6,3.0,0.55,0.518,0.7,1.0,0.695,0.7,2.2,3.0,1.0,0.5,0.4,0.5,2.2,6.1,0.422,5.6,1.4,-1.2,-0.1,10.4,0.7,0.199,-1.1,3.1,1.5,8.6,1.1,8.4,6.6,0.54,11.0,0.4,2.1,0.052,72
Stephen Curry,PG,27,GSW,79,79,34.2,10.2,20.2,0.504,5.1,11.2,0.454,5.1,9.0,0.566,0.63,4.6,5.1,0.908,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2.0,30.1,0.554,33.7,0.4,12.5,0.1,13.6,4.1,0.25,12.4,2.9,13.8,31.5,3.0,12.9,8.6,0.669,32.6,9.8,17.9,0.318,94
Anthony Davis,C,22,NOP,61,61,35.5,9.2,18.6,0.493,0.6,1.8,0.324,8.6,16.9,0.511,0.508,5.3,7.0,0.758,2.1,8.1,10.3,1.9,1.3,2.0,2.0,2.4,24.3,0.095,10.0,4.7,2.2,1.2,26.4,2.8,0.379,1.0,6.4,4.4,25.0,1.8,8.4,16.1,0.559,29.6,2.3,7.2,0.16,94
Ed Davis,PF,26,POR,81,0,20.8,2.5,4.2,0.611,0.0,0.0,,2.5,4.2,0.611,0.611,1.4,2.5,0.559,2.8,4.6,7.4,1.1,0.7,0.9,0.8,2.5,6.5,0.0,7.7,3.3,3.3,2.5,24.2,2.3,0.605,0.8,14.4,4.4,18.7,1.7,13.0,19.3,0.616,12.7,2.3,6.7,0.192,72
Sam Dekker,SF,21,HOU,3,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.5,5.8,18.5,0.0,,-5.3,0.0,0.0,10.8,8.2,,9.2,,0.0,0.0,0.0,0.116,74
DeMar DeRozan,SG,26,TOR,78,78,35.9,7.9,17.7,0.446,0.6,1.8,0.338,7.3,15.9,0.458,0.463,7.1,8.4,0.85,0.8,3.7,4.5,4.0,1.0,0.3,2.2,2.1,23.5,0.101,20.8,0.6,1.4,-1.2,11.5,2.4,0.474,2.7,2.7,7.5,21.5,1.5,9.5,7.1,0.55,29.8,2.4,9.9,0.169,90
Gorgui Dieng,C,26,MIN,82,39,27.1,3.8,7.1,0.532,0.1,0.2,0.3,3.7,6.8,0.54,0.537,2.5,3.0,0.827,1.9,5.2,7.1,1.7,1.1,1.2,1.7,2.7,10.1,0.035,10.1,3.5,2.4,2.4,22.1,2.5,0.428,0.0,8.3,3.4,17.1,2.1,16.9,15.3,0.601,16.7,2.5,5.9,0.127,77
Goran Dragic,PG,29,MIA,72,72,32.8,5.8,12.2,0.477,0.9,2.8,0.312,4.9,9.3,0.527,0.513,1.7,2.3,0.727,0.8,3.1,3.8,5.8,1.0,0.2,2.6,2.6,14.1,0.234,28.7,0.6,0.7,-0.6,10.4,2.3,0.189,1.3,2.7,2.4,15.5,1.5,16.3,6.6,0.537,21.9,1.6,4.7,0.096,84
Andre Drummond,C,22,DET,81,81,32.9,6.8,13.1,0.521,0.0,0.1,0.333,6.8,13.0,0.522,0.522,2.6,7.2,0.355,4.9,9.9,14.8,0.8,1.5,1.4,1.9,3.0,16.2,0.006,4.4,3.2,-0.5,1.6,34.2,5.5,0.553,-2.1,15.6,2.0,21.2,2.3,10.5,24.5,0.499,24.1,1.0,7.4,0.133,86
Monta Ellis,SG,30,IND,81,81,33.8,5.4,12.6,0.427,1.1,3.5,0.309,4.3,9.1,0.472,0.47,2.0,2.5,0.786,0.5,2.8,3.3,4.7,1.9,0.5,2.5,2.1,13.8,0.276,22.2,1.1,0.3,0.9,9.1,3.9,0.202,-0.6,1.7,0.4,13.7,2.7,15.4,5.4,0.504,21.2,1.6,4.3,0.075,74
James Ennis,SF,25,MEM,10,0,4.0,0.4,1.3,0.308,0.2,0.8,0.25,0.2,0.5,0.4,0.385,0.6,1.0,0.6,0.4,0.3,0.7,0.2,0.4,0.2,0.2,0.1,1.6,0.615,7.6,4.6,2.8,1.9,8.9,0.1,0.769,1.0,10.9,0.0,18.3,5.1,10.3,10.0,0.46,21.8,0.0,0.1,0.1,74
Tyreke Evans,SG,26,NOP,25,25,30.6,5.4,12.6,0.433,1.3,3.4,0.388,4.1,9.2,0.45,0.486,3.0,3.7,0.796,0.8,4.4,5.2,6.6,1.3,0.3,2.9,2.6,15.2,0.271,34.6,0.9,1.7,0.0,16.4,0.6,0.296,1.7,2.8,0.8,17.9,2.1,17.1,9.3,0.534,24.7,0.7,1.4,0.087,78
Kenneth Faried,PF,26,DEN,67,64,25.3,5.2,9.3,0.558,0.0,0.0,0.5,5.2,9.3,0.558,0.558,2.0,3.3,0.613,3.5,5.2,8.7,1.2,0.5,0.9,1.4,2.5,12.5,0.003,8.1,2.9,0.9,-0.1,23.0,1.5,0.355,1.0,15.1,4.0,21.0,0.9,11.2,19.0,0.577,21.0,1.2,5.5,0.156,79
Derrick Favors,PF,24,UTA,62,59,32.0,6.7,13.1,0.515,0.0,0.1,0.0,6.7,13.0,0.518,0.515,2.9,4.1,0.709,2.7,5.4,8.1,1.5,1.2,1.5,1.7,2.4,16.4,0.005,8.9,3.9,2.7,2.3,19.6,3.4,0.313,0.4,10.0,3.8,21.6,2.0,10.1,14.8,0.551,23.9,2.3,7.1,0.173,78
Cristiano Felicio,C,23,CHI,31,4,10.4,1.3,2.3,0.556,0.0,0.1,0.0,1.3,2.2,0.588,0.556,0.8,1.1,0.714,1.0,2.3,3.3,0.8,0.2,0.4,0.4,1.0,3.4,0.056,12.1,3.0,0.9,1.4,23.1,0.4,0.486,-0.5,10.0,0.7,17.6,0.9,12.9,16.7,0.601,13.7,0.2,1.2,0.175,72
Evan Fournier,SF,23,ORL,79,71,32.5,5.4,11.8,0.462,2.0,4.9,0.4,3.5,6.8,0.506,0.546,2.5,3.0,0.836,0.4,2.4,2.8,2.7,1.2,0.0,1.7,2.7,15.4,0.42,12.8,0.1,0.7,-1.5,8.4,1.7,0.256,2.1,1.4,4.0,14.6,1.9,11.4,4.9,0.587,20.1,1.7,5.7,0.106,78
Tim Frazier,PG,25,NOP,16,1,29.3,4.8,10.6,0.45,0.8,1.9,0.419,3.9,8.6,0.457,0.488,2.8,3.7,0.763,0.9,3.5,4.4,7.5,1.4,0.1,2.4,2.6,13.1,0.183,40.3,0.2,1.5,-0.7,13.7,0.3,0.349,2.2,3.4,0.9,19.1,2.4,16.3,8.4,0.539,22.0,0.4,1.2,0.128,74
Channing Frye,C,32,CLE,26,3,17.2,2.7,6.2,0.441,1.7,4.4,0.377,1.1,1.8,0.596,0.575,0.4,0.5,0.786,0.5,3.1,3.6,1.0,0.3,0.3,0.5,2.2,7.5,0.708,9.1,1.5,1.1,-0.8,20.4,0.6,0.087,1.9,3.1,0.9,14.9,0.9,7.2,11.8,0.586,18.3,0.3,1.5,0.157,74
Danilo Gallinari,SF,27,DEN,53,53,34.7,5.4,13.2,0.41,1.6,4.5,0.364,3.8,8.7,0.434,0.472,7.1,8.2,0.868,1.0,4.3,5.3,2.5,0.8,0.4,1.5,1.6,19.5,0.341,11.8,0.8,1.2,-1.8,14.0,0.9,0.617,2.9,3.1,5.4,19.0,1.1,8.0,8.5,0.582,23.0,1.5,6.3,0.165,79
Marc Gasol,C,31,MEM,52,52,34.4,6.3,13.6,0.464,0.0,0.1,0.667,6.3,13.5,0.463,0.465,3.9,4.7,0.829,1.1,5.8,7.0,3.8,1.0,1.3,2.3,2.7,16.6,0.004,18.9,3.6,1.0,1.7,20.2,1.9,0.347,-0.7,3.5,1.8,17.7,1.4,12.7,11.5,0.528,23.4,1.3,3.7,0.098,89
Rudy Gay,SF,29,SAC,70,70,34.0,6.7,14.4,0.463,1.1,3.1,0.344,5.6,11.3,0.495,0.5,2.8,3.6,0.78,1.5,5.0,6.5,1.7,1.4,0.7,2.0,2.6,17.2,0.214,8.0,1.7,-0.4,0.1,15.9,2.1,0.252,-0.4,4.7,1.8,15.5,2.0,11.1,10.4,0.538,22.4,1.0,3.8,0.078,81
Paul George,SF,25,IND,81,81,34.8,7.5,17.9,0.418,2.6,7.0,0.371,4.9,10.9,0.447,0.49,5.6,6.5,0.86,1.0,6.0,7.0,4.1,1.9,0.4,3.3,2.8,23.1,0.391,20.3,0.8,4.5,1.0,18.7,4.8,0.364,3.5,3.1,4.4,20.9,2.7,13.6,10.9,0.557,30.4,4.6,9.2,0.157,89
