player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
Aaron Williams,C,32,NJN,72,7,18.6,2.4,4.8,0.503,0.0,0.0,0.333,2.4,4.7,0.504,0.504,1.5,2.2,0.677,1.4,2.7,4.1,1.1,0.5,0.6,1.2,2.6,6.3,0.009,10.4,2.7,-0.9,1.6,17.0,2.3,0.453,-2.4,8.9,1.1,13.2,1.4,17.8,13.0,0.549,17.5,0.4,3.4,0.122,68
Alvin Williams,SG,29,TOR,56,54,30.9,3.6,8.9,0.405,0.5,1.6,0.292,3.1,7.3,0.43,0.431,1.2,1.5,0.776,0.3,2.4,2.7,4.0,1.0,0.2,1.4,2.0,8.8,0.179,23.6,0.4,-2.4,-0.3,8.8,1.8,0.171,-2.1,1.2,0.3,11.4,1.8,12.8,5.0,0.463,17.1,-0.2,2.1,0.058,72
Eric Williams,SF,31,CLE,50,36,27.5,3.1,8.4,0.366,0.5,1.9,0.253,2.6,6.5,0.399,0.394,2.7,3.5,0.787,0.9,2.9,3.8,1.9,1.0,0.2,1.1,2.6,9.4,0.226,11.1,0.4,-2.0,-1.0,11.8,0.9,0.413,-1.0,3.5,0.9,11.2,1.8,10.3,7.7,0.471,18.1,0.0,1.9,0.065,73
Frank Williams,PG,23,NYK,56,3,12.8,1.4,3.7,0.385,0.3,1.1,0.3,1.1,2.6,0.419,0.428,0.7,0.9,0.854,0.1,0.8,0.9,2.2,0.4,0.1,1.1,1.0,3.9,0.288,27.7,0.6,-4.6,-2.2,7.2,0.5,0.231,-2.4,1.3,-0.1,10.7,1.9,21.6,4.3,0.478,19.0,-0.5,0.3,0.023,70
Jason Williams,PG,28,MEM,72,68,29.4,4.0,9.9,0.407,1.7,5.1,0.33,2.4,4.8,0.487,0.491,1.1,1.4,0.837,0.3,1.7,2.0,6.8,1.3,0.1,1.9,1.3,10.9,0.511,38.3,0.2,0.3,-2.8,6.6,1.4,0.137,3.0,1.3,3.9,16.9,2.3,15.2,3.9,0.517,19.0,1.2,5.4,0.122,82
Jerome Williams,PF,30,CHI,53,32,23.2,2.5,5.3,0.466,0.0,0.1,0.0,2.5,5.1,0.478,0.466,1.6,2.4,0.675,2.7,3.9,6.5,1.2,1.3,0.1,1.0,2.0,6.5,0.025,8.3,0.3,1.1,1.7,18.7,1.7,0.452,-0.6,12.3,1.6,15.4,3.0,13.2,15.4,0.516,14.0,1.0,3.3,0.13,72
Scott Williams,C,35,DAL,27,11,9.6,1.4,3.1,0.435,0.0,0.0,0.0,1.4,3.1,0.44,0.435,0.3,0.5,0.5,0.6,1.7,2.2,0.4,0.2,0.3,0.4,1.9,3.0,0.012,6.1,2.6,-4.9,-1.1,19.3,0.2,0.165,-3.8,6.1,0.0,9.3,1.0,9.9,12.6,0.444,17.0,-0.2,0.2,0.033,66
Corliss Williamson,PF,30,DET,79,0,19.9,3.8,7.6,0.505,0.0,0.0,,3.8,7.6,0.505,0.505,1.8,2.5,0.731,1.1,2.1,3.2,0.7,0.4,0.3,1.4,2.6,9.5,0.0,7.2,1.0,-2.6,-1.0,12.2,2.5,0.327,-1.6,6.6,1.6,14.4,1.0,14.1,9.4,0.546,23.8,-0.2,4.1,0.124,73
Kevin Willis,C,41,SAS,48,0,7.8,1.5,3.1,0.467,0.0,0.0,0.0,1.5,3.1,0.47,0.467,0.5,0.8,0.615,0.8,1.3,2.0,0.2,0.4,0.2,0.7,1.3,3.4,0.007,5.5,1.8,-2.7,1.1,18.1,1.0,0.26,-3.8,11.2,-0.1,14.9,3.0,16.1,14.7,0.491,24.7,-0.1,0.9,0.111,67
Loren Woods,C,25,MIA,38,2,13.3,1.2,2.5,0.458,0.0,0.0,,1.2,2.5,0.458,0.458,0.9,1.4,0.6,1.7,1.8,3.5,0.3,0.3,0.5,0.7,1.4,3.2,0.0,3.3,3.0,-2.4,0.5,16.1,0.6,0.573,-2.9,14.8,0.4,12.3,1.2,17.8,15.4,0.503,13.6,-0.1,1.1,0.1,69
Qyntel Woods,SF,22,POR,62,8,10.9,1.4,3.8,0.371,0.2,0.5,0.345,1.3,3.4,0.375,0.392,0.6,1.0,0.633,0.7,1.5,2.2,0.7,0.3,0.2,0.8,1.4,3.6,0.122,11.5,1.6,-5.3,-1.1,15.8,0.5,0.253,-4.3,8.2,-0.7,9.4,1.7,16.5,12.0,0.425,22.2,-0.6,-0.2,-0.012,69
Lorenzen Wright,C,28,MEM,65,46,25.8,4.0,9.0,0.439,0.0,0.1,0.0,4.0,8.9,0.442,0.439,1.5,2.0,0.733,2.2,4.6,6.8,1.1,0.7,0.9,1.2,3.0,9.4,0.009,7.2,2.5,-1.3,0.7,20.5,2.1,0.224,-2.1,9.6,1.0,14.0,1.4,10.7,15.0,0.474,19.4,0.3,3.2,0.092,75
