,first_name,last_name,age,year,team,position,games_played,games_started,minutes_played,minutes_per_game,field_goals_made,field_goals_attempted,field_goal_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_field_goal_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,asisst_to_turnover_ratio,personal_fouls,points,points_per_game,rating
703,Tremaine,Fowlkes,27,2003,DET,SF,36,0,261,7.25,15,48,0.3125,1,8,0.125,14,40,0.35,13,18,0.722222222,18,35,14,9,3,12,1.166666667,37,44,1.222222222,66
704,Greg,Buckner,27,2003,PHI,SG,53,3,703,13.26415094,66,175,0.377142857,12,44,0.272727273,54,131,0.41221374,20,27,0.740740741,28,75,45,21,4,34,1.323529412,77,164,3.094339623,66
705,Raja,Bell,27,2003,UTA,SG,82,4,2020,24.63414634,329,805,0.408695652,62,166,0.373493976,267,639,0.417840376,195,248,0.786290323,60,181,107,63,13,111,0.963963964,262,915,11.15853659,59
706,Rick,Fox,34,2003,LAL,SF,38,34,846,22.26315789,73,186,0.392473118,15,61,0.245901639,58,125,0.464,22,30,0.733333333,29,73,98,29,4,48,2.041666667,99,183,4.815789474,68
707,Kevin,Garnett,27,2003,MIN,PF,82,82,3231,39.40243902,804,1611,0.499068901,11,43,0.255813953,793,1568,0.505739796,368,465,0.791397849,245,894,409,120,178,212,1.929245283,202,1987,24.23170732,99
708,Tim,Duncan,27,2003,SAS,PF,69,68,2527,36.62318841,592,1181,0.50127011,2,12,0.166666667,590,1169,0.504704876,352,588,0.598639456,227,632,213,62,185,183,1.163934426,164,1538,22.28985507,98
709,Dirk,Nowitzki,25,2003,DAL,C,77,77,2915,37.85714286,605,1310,0.461832061,99,290,0.34137931,506,1020,0.496078431,371,423,0.877068558,90,580,207,92,104,135,1.533333333,216,1680,21.81818182,90
710,Jermaine,ONeal,25,2003,IND,PF,78,78,2788,35.74358974,608,1400,0.434285714,2,18,0.111111111,606,1382,0.438494935,348,460,0.756521739,193,585,164,59,199,181,0.906077348,248,1566,20.07692308,90
711,Elton,Brand,24,2003,LAC,PF,69,68,2670,38.69565217,484,982,0.49287169,0,1,0.0,484,981,0.493374108,411,532,0.772556391,269,445,227,64,154,193,1.176165803,229,1379,19.98550725,87
712,Chris,Webber,30,2003,SAC,PF,23,23,831,36.13043478,174,421,0.413301663,1,5,0.2,173,416,0.415865385,81,114,0.710526316,48,152,105,31,20,60,1.75,76,430,18.69565217,85
713,Pau,Gasol,23,2003,MEM,PF,78,78,2458,31.51282051,506,1049,0.482364156,4,15,0.266666667,502,1034,0.48549323,365,511,0.714285714,206,394,198,44,132,187,1.058823529,185,1381,17.70512821,84
714,Antoine,Walker,27,2003,DAL,PF,82,82,2840,34.63414634,483,1129,0.427812223,82,305,0.268852459,401,824,0.486650485,103,186,0.553763441,198,486,369,65,65,202,1.826732673,212,1151,14.03658537,84
715,Rasheed,Wallace,29,2003,DET,PF,68,66,2390,35.14705882,425,974,0.436344969,82,248,0.330645161,343,726,0.472451791,156,212,0.735849057,102,357,156,61,122,119,1.31092437,190,1088,16.0,84
